branch_name, premises_phone, premises_fax, email, website, premises_address, premises_suburb, premises_state, local_beach, premises_postcode
Sydney Branch,419133990, , info@burningpalmsslsc.com.au, www.burningpalmsslsc.com.au, Royal National Park, , NSW, Burning Palms, 
Misc WA Clubs, , , bnslsc@mybeach.com.au, , , BUSSELTON, WA, Busselton Beach,6280
Far North Coast Branch, , , secretary@byronbaysurfclub.org, www.byronbaysurfclub.com.au, Bay Street, Byron Bay, NSW, Main Beach (Byron Bay),2481
Far North Coast Branch, 02 6676 1551, 02 6676 0944, admin@cabaslsc.org.au, www.cabaslsc.org.au, 7 Pandanus Parade, Cabarita Beach, NSW, Bogangar/Cabarita,2488
North Queensland Branch, 07 4059 1263, 07 4059 1362, surf.admin@cairnssurfclub.com.au, http://www.cairnslifesaving.org.au/, 135 Williams Esplanade, Palm Cove, QLD, Palm Cove,4879
Mid North Coast Branch, 02 6559 8592, , secretary@chslsc.com, www.chslsc.com, 128 The Parade, North Haven, NSW, Grants/North Haven Beach,2443
Lower North Coast Branch, 6555 5822, 6555 5822, curto@bigpond.net.au, wwww.capehawkeslsc.org.au, Palmgrove Place - One Mile Beach, FORSTER, NSW, One Mile Beach,2428
Bass (Area), , , secretary@cpslsc.org.au, www.capepatersonslsc.org, Surf Beach Road, Cape Paterson, VIC, Cape Paterson/First Surf,3995
Misc TAS Clubs, 03 62658102, , carltonpark@slst.asn.au, http://www.carltonparkslsc.com.au/, 1 Raprinner Street, Dodges Ferry, TAS, Carlton Beach,7173
Kingston (Area), 03 9776 0504, , Info@carrumslsc.com, www.carrumslsc.com, 15 Old Post Office Lane, Carrum, VIC, Carrum,3197
Hunter Branch, 02 4976 1217, , info@cathoslsc.org.au, www.cathoslsc.org.au, Flowers Drive, Catherine Hill Bay, NSW, Middle Camp Beach,2281
Hunter Branch,249711667,249715540, tonyjones7@outlook.com, www.cavesslsc.com.au, 131 Caves Beach Road, Caves Beach, NSW, Caves Beach,2281
Misc WA Clubs, 0428 382 285, , admin@champions.org.au, http://www.champions.org.au/, Foreshore Drive, GERALDTON, WA, Champion-St George Beach,6530
Kingston (Area), 03 9772 3029, , clslsc.secretary@gmail.com, www.chelseaslsc.com, The Strand, Chelsea, VIC, Chelsea,3196
Misc SA Clubs,885542047, , chitonrocks@gmail.com, http://www.chitonrocks.com, Hindmarsh Esplanade, Hayborough, SA, Boomer-Chiton Rocks,5211
Misc SA Clubs,88346445,883268969, cbeachlc@sa.chariot.net.au, www.christiesbeachslsc.com.au, Esplanade, Christies Beach, SA, Christies Beach,5165
Misc WA Clubs, 08 9721 3633, , surfclub@bunburyslsc.com.au, www.bunburyslsc.com.au, Ocean Drive, Bunbury, WA, Bunbury Beach,6230
Misc WA Clubs,893859232, , admin@citysurf.asn.au, www.citysurf.asn.au, 181- 183 Challenger Parade, City Beach, WA, City Beach,6015
Misc TAS Clubs, 03 62489 999, , cliftonbeachslsc@gmail.com, www.cliftonbeachslsc.com.au, Clifton Beach Road, Clifton Beach, TAS, Clifton Beach,7020
Sydney Branch, 02 9665 1441, 02 9315 7412, admin@clovellysurfclub.com.au, www.clovellysurfclub.com.au, End of Clovelly Rd, Clovelly, NSW, Clovelly Beach,2031
Illawarra Branch, , , clubcaptain@coalcliffslsc.com.au, www.coalcliffslsc.com.au, Surf Road, Coalcliff, NSW, Coalcliff Beach,2508
North Coast Branch, 02 6652 3245, , info@coffsharbourslsc.asn.au, www.coffsharbourslsc.asn.au, 23 Surf Club Road, Coffs Harbour, NSW, Park Beach,2450
Illawarra Branch, , , kevin.barlow@corrosionelectronics.com.au, www.coledalebeach.com.au, Lawrence Hargrave Drive, COLEDALE, NSW, Coledale Beach,2515
Sydney Northern Beaches Branch,299716633,299710751, collaroysecretary@gmail.com, www.collaroysurfclub.com.au, Pittwater Road, Collaroy, NSW, Collaroy Beach,2097
Community NSW Branch, , , , , , , , , 
Misc NT Clubs, , , , , , , , , 
Surf Life Saving QLD Misc Branch, , , , , , , , , 
Misc SA Clubs, , , , , , , , , 
Misc TAS Clubs, , , , , , , , , 
Misc WA Clubs, , , , , , , , , 
Surf Life Saving WA, , , , , , , , , 
Surf Life Saving NSW, , , , , , , , , 
Misc VIC Clubs, , , , , , , VIC, , 
South Coast Branch (Qld), , , sbhorsfall@optusnet.com.au, , Victoria Parade, Coochiemudlo Island, QLD, Main Beach,4184
Misc WA Clubs, 08 9494 1433, , clubadministrator@cbslsc.com.au, www.cbslsc.com.au, 20 Poore Grove, Coogee, WA, Coogee Beach,6166
Sydney Branch, 02 9665 5138, 02 9665 4925, admin@coogeeslsc.com.au, www.coogeesurfclub.com.au, Seddon Garden, Coogee, NSW, Coogee,2034
Hunter Branch, 02 4925 2828, , enquiries@cookshillsurfclub.com.au, www.cookshillsurfclub.com.au, Memorial Drive, Bar Beach, NSW, Bar Beach,2300
Point Danger Branch, 07 5536 8474, 07 5536 7061, office@coolangattaslsc.com.au, www.coolangattaslsc.com.au, Marine Parade, Coolangatta, QLD, Coolangatta,4225
Sunshine Coast Branch, 07 5446 1148,754716473, lifesaving@coolumsurfclub.com.au, www.coolumsurfclub.com.au, 1775-1779 David Low Way, Coolum Beach, QLD, Coolum,4573
Central Coast Branch, 02 4381 1420, , admin@copacabanaslsc.org.au, www.copacabanaslsc.org.au, Del Monte Place, Copacabana, NSW, Copacabana,2251
Illawarra Branch, , , corrimalsurfclub@gmail.com, , Lake Parade, Corrimal, NSW, Corrimal Beach,2518
Misc WA Clubs,893834400,893854963, admin@cottsurf.com, www.cottsurf.com.au, 87 Marine Parade, COTTESLOE, WA, Cottesloe Beach,6011
Sydney Branch,295235300,295273847, admin@cronullasurfclub.com, www.cronullasurfclub.com, Club House 1st Floor The Esplanade, Cronulla, NSW, Cronulla Beach,2230
Lower North Coast Branch,265561325, , admin@crowdyheadslsc.org.au, www.crowdyheadslsc.org.au, 559 Crowdy Head Road, Crowdy Head, NSW, Crowdy Beach,2427
Far North Coast Branch, 02 66741573, 02 66743388, admin@cudgenslsc.org.au, www.cudgenslsc.org.au, 61 Marine Parade, Kingscliff, NSW, Dreamtime/Kingscliff/Cudgen,2487
Point Danger Branch, 07 5534 2241, 07 5534 7111, administrator@currumbinslsc.com.au, www.currumbinslsc.com.au, Pacific Parade, Currumbin, QLD, Currumbin,4223
Misc WA Clubs, , , dpslsc@mybeach.com.au, http://www.dalyellupslsc.com.au/, Beach End Dalyellup BLVD, Dalyellup, WA, Dalyellup,6230
Misc NT Clubs,889450447, , darwinslsc@iinet.net.au, www.darwinsurfclub.com.au, Lot 9316 Daribah Road, BRINKIN, NT, Casuarina Beach,810
Sydney Northern Beaches Branch, 02 9971 8047, 02 9971 7334, secretary@dyslsc.org.au, www.dyslsc.org.au, The Strand- Dee Why Beach, DEE WHY, NSW, Dee Why,2099
Misc WA Clubs,898482346, , denmarksurf@westnet.com.au, www.denmarksurf.com.au, Ocean Beach Road, Denmark, WA, Ocean Beach,6333
Misc TAS Clubs, 036424 6797, , mail@devonportsurfclub.asn.au, www.devonportsurfclub.asn.au, 39 Bluff Road (Box 157), Devonport, TAS, Bluff Beach,7310
Sunshine Coast Branch, 07 5491 5742, 07 5438 2152, lifesaving@dickybeachsurfclub.com, www.dickybeachsurfclub.com, 1a Coochin Street, Dicky Beach, QLD, Dicky,4551
Hunter Branch, 024926 2422, , administration@dixonparkslsc.com.au, www.dixonparkslsc.com.au, Ocean Street, MEREWETHER, NSW, Dixon Beach,2291
Misc WA Clubs, , , rod@edwardspartners.com.au, , Whitetops Road, Port Denison, WA, Dongara,6525
Peninsula (Area), 035981 4982, , dblsc@optusnet.com.au, www.dromanabay.org, 250 Point Nepean Road, Dromana, VIC, Dromana,3936
Kingston (Area), 03 9772 3968, , secretary_elsc@hotmail.com, www.edithvalelsc.com.au, The Esplanade, Edithvale, VIC, Edithvale,3196
North Barrier Branch, 07 49696680, 07 49696680, eimeoslsclub@bigpond.com, www.eimeoslsc.com.au, Eimeo Esplanade, Eimeo, QLD, Eimeo,4740
Wide Bay Capricorn Branch, 07 41550110, 07 41521545, ehslsc@ehslsc.net.au, www.ehslsc.net.au/, Opposite Caravan Park, Elliott Heads, QLD, Elliott Heads,4670
North Queensland Branch, 07 4055 3695, 07 4059 1634, ellis.slsc@bigpond.com, www.ellisbeachslsc.com, Captain Cook Highway, Ellis Beach, QLD, Ellis,4879
Sydney Branch,295237295,295444398, info@elouera.com, www.elouera.com, Mitchell Rd, Cronulla, NSW, Elouera Beach,2230
Port Phillip (Area), 03 9531 5755, , elsc11ef@bigpond.net.au, www.elwoodlsc.com, 11 Elwood Foreshore, Elwood, VIC, Elwood,3184
Wide Bay Capricorn Branch, 07 4939 6207, 07 4939 6999, secretary@emuparkslsc.com.au, www.emuparkslsc.com.au, 3 Keppel Street, Emu Park, QLD, Emu Park,4710
Sydney Branch, , , weedenkelly@gmail.com, , 17 Coora Rd, Yowie Bay, NSW, South Era Beach,2228
Misc WA Clubs,890720087, , egslsc@gmail.com, , Loc 2102 Twilight Beach Rd, Esperance, WA, Fourth-Surfers-Twilight Beach,6450
North Queensland Branch, 07 40632237, , alanaw65@bigpond.com, , Etty Bay Road, Innisfail, QLD, Etty Bay,4860
Far North Coast Branch, 02-66824277, , evanssurflifesaving@bigpond.com, www.evanssurf.org.au, 1 Captain Cook Drive, EVANS HEAD, NSW, Evans Head,2473
Surf Coast (Area), , , info@fairhavenslsc.org, www.fairhavenslsc.org, Cnr Great Ocean Road and Yarringa Road, Fairhaven, VIC, ,3231
Illawarra Branch,242840431,242841852, admin@fairymeadowslsc.com, www.fairymeadowslsc.com, Elliots Road, Fairy Meadow, NSW, Towradgi/Fairy Meadow,2519
Surf Life Saving NSW, , , admin@surflifesavingfnc.com, www.slsfnc.com.au, Shelly Beach, Ballina, NSW, ,2478
Surf Life Saving NSW,401361822, , doafscsls@gmail.com, , , , Unknown, , 
Hunter Branch,413089131, , secretary@fingalbeachslsc.com, www.fingalbeachslsc.com, 3 Marine Drive, Fingal Bay, NSW, Fingal Beach,2315
Far North Coast Branch, 0419 379360, , secretary@fingalroversslsc.com.au, www.fingalroversslsc.com.au, Cnr Prince St and Marine Parade, FINGAL HEAD, NSW, Letitia Spit,2487
Life Saving Victoria, , , , , , , Unknown, , 
Misc WA Clubs, 08 9385 9370, 08 9385 9370, admin@floreatslsc.com, http://floreatslsc.com, Challenger Parade, City Beach, WA, Floreat-Scarborough-Trigg,6015
North Barrier Branch, 07 4777 8966, , cmcantoni@bigpond.com, http://www.fbslsc.org, 9 Palm Street, Allingham, QLD, Forrest Beach,4850
Lower North Coast Branch, , , admin@forsterslsc.com, , Cnr Beach and North Street, Forster, NSW, Forster Beach,2428
Kingston (Area), 03 9783 9730, , president@frankstonlsc.com.au, www.frankstonlsc.com.au, 1 Long Island Drive, Frankston, VIC, Frankston,3199
Misc WA Clubs,893354359, , fmslsc@fremantlesurfclub.com.au, fremantlesurfclub.com.au, 20 Leighton Beach Boulevard, North Fremantle, WA, Leighton Beach,6159
Sydney Northern Beaches Branch, 02 9905 3741, 02 9905 6465, exo@freshwaterslsc.com, www.freshwaterslsc.com, Kooloora Ave, Freshwater, NSW, Freshwater Beach,2096
Sydney Branch, , , admin@garieslsc.com, www.garieslsc.com.au, Garie Beach - Garie Beach Rd, , NSW, Garie Beach, 
Misc WA Clubs,899213403,899213403, surfclub@geraldtonslsc.com, www.geraldtonslsc.com, 260 Wilcock Drive, Geraldton, WA, Tarcoola-Back Beach (Mahomets),6530
South Coast Branch (NSW), 0405 101 755, 0405 101 755, hello@gerringongsurfclub.com, gerringongsurfclub.com, Pacific Avenue (Southern End), Werri Beach, NSW, Werri Beach,2534
Life Saving Victoria, , , , , , , Unknown, , 
Misc SA Clubs,82956165, , secretary@glenelgslsc.com.au, www.glenelgslsc.com.au, The Foreshore, Glenelg, SA, Glenelg,5045
Gippsland (Area), 03 5146 3354, , surfclub@goldenbeachgippsland.com.au, , 124 Shoreline Drive, Golden Beach, VIC, Golden,3851
Misc SA Clubs, , , goolwasls@hotmail.com, http://www.goolwaslsc.com.au/, Beach Road, Goolwa, SA, Goolwa,5214
Misc NT Clubs,889872589, , govesurfclub@gmail.com, http://goveslsc.org, Town Beach, Nhulunbuy, NT, Gadalathami/Town,880
Misc SA Clubs, , , mail@grangeslsc.asn.au, www.grangeslsc.asn.au, 497 Esplanade, Grange, SA, Grange,5022
Peninsula (Area), 03 5988 6330, , info@gunnamattaslsc.com.au, www.gunnamattaslsc.com.au, Truemans Road, Rye, VIC, Gunnamatta, 
Bayside (Area), 03 9598 0399, , petejane@netspace.net.au, www.halfmoonbayslsc.com.au, Cerberus Way, Black Rock, VIC, Half Moon Bay,3193
Bayside (Area), 03 9598 0600, , info@hlsc.org.au, www.hlsc.org.au, Beach Road (250M North of Small St), Hampton, VIC, Hampton,3188
Mid North Coast Branch,265677562, , hatheadslsc@gmail.com, hatheadslsc.org.au, Myrtle St, Hat Head, NSW, Hat Head,2440
Illawarra Branch, (02) 4294-1223, , hsp@stanwellparksurfclub.com, www.stanwellparksurfclub.com, Lot 20 Beach Road, Stanwell Park, NSW, Stanwell Park,2508
Misc SA Clubs, , , membership@henleyslsc.com.au, www.henleyslsc.com.au, 246 The Esplanade, Henley Beach, SA, Henley,5022
Wide Bay Capricorn Branch, 07 4125 1718, , hbslsc@herveybaysurfclub.com.au, www.herveybaysurfclub.com.au, The Esplanade, Torquay, QLD, Scarness-Torquay,4655
Surf Life Saving NSW, 02 4961 4533, , info@hsls.org.au, www.hsls.org.au, 1/6 Revelation Close, Tighes Hill, NSW, ,2297
Bass (Area), , , info@islsc.org.au, islsc.org.au, 163 Surf Parade, Inverloch, VIC, Main (Surf Beach),3996
Surf Coast (Area), 03 5261 2755, 03 5261 2755, info@janjucsurfclub.com.au, janjucsurfclub.com.au, Clubhouse Road, Jan Juc, VIC, Jan Juc,3228
Sunshine Coast Branch, 07 5444 8642, , surfadmin@kawanasurfclub.com.au, www.kawanasurfclub.com.au, 99 Pacific Boulevard, Buddina, QLD, Kawana,4575
Mid North Coast Branch, , , mauriefuller@gmail.com, http://crescentheadslsc.com.au/,367, Crescent Head, NSW, Killick Beach,2440
Otway (Area),408419812, , jason_menz@tac.vic.gov.au, , Great Ocean Road, Kennett River, VIC, Kennett River,3234
South Coast Branch (NSW),242378580, , club@kiamadownssurf.com, www.kiamadownssurf.com, 150 North Kiama Drive, Kiama Downs, NSW, Jones/Boyds Beach,2533
South Coast Branch (NSW), 02 4232 2038, , secretary@kiamaslsc.com.au, www.kiamaslsc.com.au, Manning Street, Kiama, NSW, Surf Beach,2533
Central Coast Branch, , , killcareslsc@thelofbergs.com, www.killcaresurfclub.com.au, Beach Drive, KIllcare, NSW, Putty/Killcare Beach,2257
Misc TAS Clubs, , , kingstonbeachslsc@gmail.com, www.kingstonbeachslsc.com.au, 25A Osbourne Esplanade, Kingston Beach, TAS, Kingston Beach,7050
Life Saving Victoria, , , , , , , Unknown, , 
Point Danger Branch, 07 5599 3524, , kirra@kirraslsc.com, www.kirraslsc.com, 15 Marine Parade, Coolangatta, QLD, Kirra,4225
South Coast Branch (Qld), 07 5527 5660, 07 5527 5566, surfadmin@kurrawasurf.com.au, www.kurrawasurf.com.au, Old Burleigh Road, Broadbeach, QLD, Kurrawa,4218
Gippsland (Area), , , info@lakesentrancesurflifesaving.org.au, www.lakesentrancesurflifesaving.org.au, The Hummocks Main Beach (Cunninghame Arm Bridge), Lakes Entrance, VIC, Eastern,3909
Misc TAS Clubs, 6348 7590, 6327 3773, launcestonslsc@slst.asn.au, , Trevallyn Dam, Trevallyn, TAS, Trevalyn Dam,7250
Far North Coast Branch,266877380, , lennoxsurfclub@bigpond.com, www.lennoxsurfclub.com.au, Pacific Pde, Lennox Head, NSW, Seven Mile Beach/Lennox Head,2478
Surf Life Saving Australia, 03 9676 6930, 03 9676 6932, lifesavingoperations@lifesavingvictoria.com.au, www.lifesavingvictoria.com.au, 200 The Boulevard, Port Melbourne, VIC, ,3207
Misc VIC Clubs, , , , , , , VIC, , 
Sydney Northern Beaches Branch, 02 80784728, 02 80784728, longreef@longreef.com, www.longreef.com, Pittwater Rd Long Reef Beach, Collaroy, NSW, Long Reef Beach,2097
Surf Coast (Area), 03 5289 1724, , club_administrator@lornesurfclub.com.au, www.lornesurfclub.com.au, Mountjoy Parade, LORNE, VIC, Lorne,3232
Surf Life Saving NSW, , , admin@slslnc.org.au, www.slslnc.org.au, , , NSW, ,2428
Misc SA Clubs, , , lyn.mclachlan@stjohnsa.com.au, , 46 Penola Road, MOUNT GAMBIER, SA, ,5290
North Barrier Branch, 07 4955 5630, , mackayslsc@bigpond.com, www.mackayslsc.com.au, East Point Road- Mackay Harbour Beach, Mackay, QLD, Mackay,4740
Mid North Coast Branch,265698498, , admin@macksvillescottsheadslsc.com, www.macksvillescottsheadslsc.com, Scotts Head Reserve- Short Street, Scotts Head, NSW, Forster (South)/Scotts Head,2447
Central Coast Branch, , , macmastersslsc@gmail.com, www.macmastersbeachslsc.com, 100 Marine Parade, MacMasters Beach, NSW, Macmasters Beach,2251
Gippsland (Area), , , wood-ingram.rory.j@edumail.vic.gov.au, , Lees Road (SES Shed), Mallacoota, VIC, Main - Bastion Point,3892
Misc WA Clubs, 08 95181419, , mhslsc@mybeach.com.au, www.mandurahslsc.asn.au, 40 Orestes St, San Remo, WA, San Remo,6210
Sydney Northern Beaches Branch, 02 9977 2742, 02 9977 6101, admin@manlylsc.com, www.manlylsc.com, Manly Surf Pavilion Cnr Ashburner Street and South Steyne, Manly, NSW, Manly Beach,2095
Sunshine Coast Branch, 07 5448 7311, 07 5448 9321, administrator@marcoolaslsc.com.au, www.marcoolaslsc.com.au, 64 - 76 Marcoola Esplanade, Marcoola, QLD, Marcoola,4564
Misc WA Clubs, , , mrslsc@mybeach.com.au, , , , WA, Margaret River mouth, 
Sunshine Coast Branch, 07 5443 1323, 07 5443 8963, lifesaving@maroochysurfclub.com.au, www.maroochysurfclub.com.au, 34-36 Alexandra Parade, Maroochydore, QLD, Maroochydore,4558
Sydney Branch,293491336, , maroubra@bigpond.net.au, www.maroubraslsc.com.au, Marine Parade, Maroubra, NSW, Maroubra Beach (north),2035
Kingston (Area), , , membershipmlsc@gmail.com, www.mentonelsc.com, Beach Road Opposite Kitchener Street, Mentone, VIC, Mentone,3194
Hunter Branch,249637972, , mslsc.secretary@gmail.com, www.merewetherslsc.com.au, Cnr John Parade and Watkins Street, Merewether, NSW, Merewether Beach,2291
South Coast Branch (Qld),755753668,755752489, admin@mermaidslsc.org.au, www.mermaidslsc.org.au, 172 Hedges Avenue, Mermaid Beach, QLD, Mermaid Beach,4218
Sunshine Coast Branch, 07 5491 1081, 07 5492 5730, info@caloundrasurfclub.com.au, www.caloundrasurfclub.com.au, 1 Spender Lane - Kings Beach, Caloundra, QLD, Kings (Caloundra),4551
South Coast Branch (Qld), 07 5572 0353, , mbslsc2@bigpond.com, http://www.miamibeachslsc.com.au, 2 Hythe Street, Miami, QLD, Miami Beach,4220
Western (Area), , , president@milduralifesaving.com, , 582 Cureton Avenue, Mildura, VIC, Apex Park Sandbar,3500
Misc NT Clubs, , , admin@mindilbeachslsc.org.au, www.mindilbeachslsc.org.au, Maria Liveris Drive, Larrakeyah, NT, Mindil Beach,820
North Coast Branch, 02 66498100, , mail@mwwslsc.org.au, www.mwwslsc.org.au, N/A, , NSW, Minnie Water,2460
Surf Life Saving NT, 08 8985 6588, , surf@lifesavingnt.com.au, www.lifesavingnt.com.au, 62 Aralia Street, Nightcliff, NT, ,810
Surf Life Saving SA, , , , , , , , , 
Surf Life Saving TAS, , , , , , , , , 
Life Saving Victoria, , , , , , , VIC, , 
Surf Life Saving WA, , , , , , , WA, , 
North Queensland Branch,429689097, , missionbeachslsc@gmail.com, , 154 Kennedy Esplanade, Mission Beach, QLD, Mission Beach,4852
