premises_name, wine_region, website, premises_address, premises_suburb, premises_state&postcode, phone, fax, opening_hours, winemaker, established, dozen, yineyards
Buckley's Run Vineyard,Mornington Peninsula,,50 Stony Creek Road, Red Hill, Vic 3937 (postal)                        Mornington Peninsula            VIC,(03) 5989 3112,(03) 5989 3085,Not,Foxeys Hangout (Tony Lee),2000,40,3 hectares,
Buller Wines,Rutherglen,www.bullerwines.com.au,2804 Federation Way, Rutherglen, Vic 3685                        Rutherglen            VIC            3685,(02) 6032 9660,(02) 6032 8005,Mon?Sat 9-5, Sun 10-5,Dave Whyte,1921,10 000,32 hectares,
Bulga Wine Estates,Swan Hill,,Bulga Road, Swan Hill, Vic 3585                        Swan Hill            VIC,(03) 5037 6685,(03) 5037 6992,By appt,Rod Bouchier,1999,NA,Not Available,
Buller (Swan Hill),Swan Hill,www.bullerwines.com.au,1374 Murray Valley Highway, Beverford, Vic 3590                        Swan Hill            VIC,(03) 5037 6305,(03) 5037 6803,Mon-Fri 9-5, Sat 10-4, Sun 10-4 (school and public hols only),Richard Buller,1951,250 000,22 hectares,
Buller View Wines,Upper Goulburn,www.bullerviewwines.com.au,PO Box 457, Reservoir, Vic 3073                        Upper Goulburn            VIC,(03) 9355 7070,(03) 9349 2591,Not,Contract,1996,1500,2.8 hectares,
Bulong Estate,Yarra Valley,www.bulongestate.com.au,70 Summerhill Road, Yarra Junction, Vic 3797 (postal)                        Yarra Valley            VIC            3797,(03) 5967 1358,(03) 5967 1350,7 days 11-4,Matt Carter,1994,2000,31 hectares,
Burgi Hill Vineyard,Yarra Valley,www.burgihill.com.au,290 Victoria Road, Wandin North, Vic 3139                        Yarra Valley            VIC,(03) 5964 3568,(03) 5964 3568,By appt,Christopher Sargeant, Dominique Portet,1974,300,Not Available,
Bunkers Margaret River Wines,Margaret River,www.bunkerswines.com.au,1142 Kaloorup Road, Kaloorup, WA 6280                        Margaret River            WA,(08) 9368 4555,(08) 9368 4566,Not,Brian Fletcher,2010,5500,34 hectares,
Bundalong Coonawarra,Coonawarra,www.bundalongcoonawarra.com.au,109 Paul Road, Comaum, SA 5277 (postal)                        Coonawarra,0419 815 925,Not Available,Not,Andrew Hardy, Peter Bissell,1990,650,65 hectares,
Bull Lane Wine Company,Heathcote,www.bulllane.com.au,PO Box 77, Heathcote, Vic 3523                        Heathcote,0427 970 041,Not Available,Not,Simon Osicka,2013,400,Not Available,
Buxton Ridge,Upper Goulburn,www.buxtonridge.com,88 Seal Rock Road, Buxton, Vic 3711                        Upper Goulburn,(03) 5774 7117,Not Available,W'ends and public hols 10-5,Michael Gelbert,1996,1300,3 hectares,
This page is corked...,Upper Goulburn,www.buxtonridge.com,88 Seal Rock Road, Buxton, Vic 3711                        Upper Goulburn,(03) 5774 7117,Not Available,W'ends and public hols 10-5,Michael Gelbert,1996,1300,3 hectares,
Black Range Estate,Upper Goulburn,,638 Limestone Road, Yea, Vic 3717                        Upper Goulburn,(03) 5797 2882,Not Available,Not,Paul Evans,2001,400,24 hectares,
Bunnamagoo Estate,Mudgee,www.bunnamagoowines.com.au,603 Henry Lawson Drive, Mudgee, NSW 2850                        Mudgee            NSW            2850,1300 304 707,(02) 6377 5231,7 days 10-4,Robert Black,1995,80 000,108 hectares,
Blue Poles Vineyard,Margaret River,www.bluepolesvineyard.com.au,PO Box 34, Mount Lawley, WA 6929                        Margaret River            WA,(08) 9757 4382,(08) 6210 1390,Not,Vasse River Wines (Sharna Kowalczuk),2001,750,6.7 hectares,
Burge Family Winemakers,Barossa Valley,www.burgefamily.com.au,1312 Barossa Way, Lyndoch, SA 5351                        Barossa Valley            SA,(08) 8524 4644,(08) 8524 4444,Fri, Sat, Mon 10-5,Rick Burge,1928,3500,10 hectares,
Blue Rock Wines,Eden Valley,www.bluerockwines.com.au,PO Box 692, Williamstown, SA 5351                        Eden Valley            SA            5351,0419 817 017,Not Available,Not,Zissis Zachopoulos,2005,4000,15 hectares,
Blind Man's Bluff Vineyards,Queensland Coastal,www.blindmansbluff.com.au,Lot 15 Bluff Road, Kenilworth, Qld 4574                        Queensland Coastal            QLD,(07) 5472 3168,Not Available,Wed-Sun 10-5,Peter Scudamore-Smith MW (Contract),2001,500,2.3 hectares,
This page is corked...,Queensland Coastal,www.blindmansbluff.com.au,Lot 15 Bluff Road, Kenilworth, Qld 4574                        Queensland Coastal            QLD,(07) 5472 3168,Not Available,Wed-Sun 10-5,Peter Scudamore-Smith MW (Contract),2001,500,2.3 hectares,
Blown Away,McLaren Vale,,PO Box 108, Willunga, SA 5172                        McLaren Vale            SA,(08) 8557 4554,(08) 8557 4554,Not,Trevor Tucker (Contract),2001,NA,Not Available,
Black Stump Wines,Various,www.blackstumpwines.com,Riverton Railway Station, Riverton, SA 5412                        Various,0415 971 113,Not Available,By appt,Tim Mortimer,1988,400,Not Available,
Bloodwood,Orange,www.bloodwood.biz,231 Griffin Road, Orange, NSW 2800                        Orange            NSW,(02) 6362 5631,(02) 6361 1173,By appt,Stephen Doyle,1983,4000,8.43 hectares,
Bluestone Acres Vineyard,Yarra Valley,www.bluestoneacres.com.au,PO Box 206, Wandin North, Vic 3139                        Yarra Valley            VIC,(03) 5964 4909,(03) 5964 3936,Not,Paul Evans,2000,1000,3.5 hectares,
Bluestone Lane,Mornington Peninsula,www.bluestonelane.com.au,269 Myers Road, Balnarring, Vic 3926                        Mornington Peninsula            VIC,0411 862 193,(03) 5948 2311,Thurs-Mon 11-5,Philip Kettle,1997,2000,Not Available,
Souled Out,Various,www.souledoutwines.com,Level 1, 151 Greville Street, Prahran, Vic 3181 (postal)                        Various,0418 856 669,Not Available,Not,Jason Searle, William Downie,2009,3000,Not Available,
Sorrenberg,Beechworth,www.sorrenberg.com,Alma Road, Beechworth, Vic 3747                        Beechworth            VIC,(03) 5728 2278,(03) 5728 2278,By appt,Barry and Jan Morey,1986,1600,4.8 hectares,
Soul Growers,Barossa Valley,www.soulgrowers.com,218-230 Murray Street, Tanunda, SA 5352                        Barossa Valley            SA,0410 505 590,(08) 8563 0582,Thurs-Sat 11-4 or by appt,Paul Heinicke, Stuart Bourne,1998,5000,4.85 hectares,
Sorby Adams Wines,Eden Valley,www.sorbyadamswines.com,51 Murray Street, Angaston, SA 5353                        Eden Valley            SA,(08) 8564 2993,(08) 8564 2437,7 days 10-5,Simon Adams,2004,15 000,11.65 hectares,
Sons and Brothers Vineyard,Orange,www.sonsandbrothers.com.au,Spring Terrace Road, Millthorpe, NSW 2798                        Orange            NSW,(02) 6366 5117,Not Available,Not,Dr Chris Bourke,1978,300,2 hectares,
Southern Highland Wines,Southern Highlands,www.southernhighlandwines.com,Oldbury Road, Sutton Forest, NSW 2577                        Southern Highlands            NSW,(02) 4868 2300,(02) 4868 1808,7 days 10-5,Eddy Rossi,2002,10 000,20 hectares,
Southpaw Vineyard,McLaren Vale,www.southpawvineyard.com.au,Level 1, 30 Flinders Street, Kent Town, SA 5067                        McLaren Vale            SA,(08) 8132 1279,(08) 8132 1288,Not,Kevin O'Brien,2004,700,Not Available,
South Channel Wines,Mornington Peninsula,,485 Bittern-Dromana Road, Red Hill, Vic 3937 (postal)                        Mornington Peninsula            VIC,0412 361 531,(03) 9897 4310,Not,Tony Lee (Contract),1997,1100,4.1 hectares,
Southern Dreams,Pemberton,,10293 Deeside Coast Road, Northcliffe, WA 6262                        Pemberton            WA,(08) 9775 1027,(08) 9387 3222,By appt,Mark Aitken,1997,250,32.4 hectares,
Syrahmi,Heathcote,www.syrahmi.com.au,2370 Lancefield-Tooborac Road, Tooborac, Vic 3523                        Heathcote            VIC,0407 057 471,Not Available,Not,Adam Foster,2004,2000,Not Available,
Blackford Stable Wines,Adelaide Hills,www.blackfordstable.com.au,PO Box 162, Charleston, SA 5244                        Adelaide Hills            SA,(08) 8389 5312,(08) 8389 5313,Not,Nicky Cowper,1998,200,28.7 hectares,
Blackwood Crest Wines,Blackwood Valley,,RMB 404A, Boyup Brook, WA 6244                        Blackwood Valley            WA,(08) 9767 3029,(08) 9767 3029,By appt 10-5,Max Fairbrass,1976,3000,8 hectares,
Fishbone Wines,Blackwood Valley,www.blackwoodwines.com.au,Kearney Street, Nannup, WA 6275                        Blackwood Valley            WA,(08) 9756 0077,(08) 9756 0089,7 days 10-4,Stuart Pearce,1996,20 000,5 hectares,
Blanche Barkly Wines,Bendigo,www.bendigowine.org.au,14 Kingower-Brenanah Road, Kingower, Vic 3517                        Bendigo            VIC,(03) 5438 8223,Not Available,W'ends and public hols 10-5,David and Arleen Reimers,1972,500,Not Available,
This page is corked...,Bendigo,www.bendigowine.org.au,14 Kingower-Brenanah Road, Kingower, Vic 3517                        Bendigo            VIC,(03) 5438 8223,Not Available,W'ends and public hols 10-5,David and Arleen Reimers,1972,500,Not Available,
Black Bishop Wines,Adelaide Hills,www.blackbishopwines.com.au,1 Valdemar Court, Magill, SA 5072 (postal)                        Adelaide Hills,0422 791 775,Not Available,Not,Damon Koerner,2012,2000,Not Available,
Blustery Banks,Northern Tasmania,www.blusterybanksvineyard.com.au,26 Sheffield Road, Spreyton, Tas 7310                        Northern Tasmania,(03) 6427 3199,Not Available,Mon-Fri 10-5, Sat 10-4,Rebecca Duffy (Holm Oak),2005,1100,2 hectares,
Belford Block Eight,Hunter Valley,www.blockeight.com.au,65 Squire Close, Belford, NSW 2335                        Hunter Valley            NSW            2335,0410 346 300,Not Available,Not,Daniel Binet,2012,1000,6 hectares,
Blue Gables,Gippsland,www.bluegables.com.au,100 Lanigan Road, Maffra West Upper, Vic 3859                        Gippsland,(03) 5148 0372,Not Available,By appt,Mal Stewart,2004,NA,2.8 hectares,
Blue Range Estate,Mornington Peninsula,www.bluerangestatewines.com.au,155 Gardens Road, Rosebud, Vic 3939                        Mornington Peninsula,(03) 5986 6560,Not Available,W'ends   public hols 11-4,Maurizio Mazzocchi, Cosi Melone,1987,5000,10 hectares,
Bleasdale Vineyards,Langhorne Creek,www.bleasdale.com.au,1640 Langhorne Creek Road, Langhorne Creek, SA 5255                        Langhorne Creek            SA            5255,(08) 8537 4000,(08) 8537 3224,Mon?Sun 10?5,Paul Hotker, Matt Laube,1850,100 000,49 hectares,
Blaxland Vineyards,Barossa Valley,www.blaxwine.com.au,2948 Barossa Valley Way, Tanunda, SA 5352            Dulwich            Barossa Valley            SA            5065,(08) 8304 8879,Not Available,7 days 10-5,Chris Polymiadis,1995,200 000,675 hectares,
Brockenchack,Eden Valley,www.brockenchack.com.au,13/102 Burnett Street, Buderim, Qld 4556            Keyneton            Eden Valley            SA            5353,(07) 5458 7700,Not Available,By appt,Shawn Kalleske, Joanne Irvine,2007,4500,16 hectares,
Brocks View Estate,Southern Fleurieu,,PO Box 396, Yankalilla, SA 5203                        Southern Fleurieu            SA,(08) 8558 2233,Not Available,Not,Peter Brocksopp,1998,300,1 hectares,
Broadview Estate,Southern Tasmania,,Rowbottoms Road, Granton, Tas 7030                        Southern Tasmania            TAS,(03) 6263 6882,(03) 6263 6840,Tues–Sun 10–5,Contract,1996,NA,Not Available,
Brook Eden Vineyard,Northern Tasmania,www.brookeden.com.au,167 Adams Road, Lebrina, Tas 7254                        Northern Tasmania            TAS,(03) 6395 6244,(03) 6395 6211,7 days 11-5 Sept-May,Winemaking Tasmania,1988,1000,2.1 hectares,
Bromley Wines,Geelong,www.bromleywines.com.au,PO Box 571, Drysdale, Vic 3222                        Geelong,0487 505 367,Not Available,Not,Darren Burke,2010,300,Not Available,
Broke's Promise Wines,Hunter Valley,www.brokespromise.com.au,725 Milbrodale Road, Broke, NSW 2330                        Hunter Valley            NSW,(02) 6579 1165,(02) 9972 1619,W'ends 11-5,Margan Family, Michael McManus,1996,700,3.3 hectares,
Brookside Vineyard,Perth Hills,www.brooksidevineyard.com.au,5 Loaring Road, Bickley Valley, WA 6076                        Perth Hills            SA,(08) 9291 8705,(08) 8383 0811,W'ends and public hols 11-4,Darlington Estate,1984,400,25 hectares,
Brookhampton Estate,Geographe,www.brookhamptonestate.com.au,South Western Highway, Donnybrook, WA 6239                        Geographe            WA,(08) 9731 0400,(08) 9731 0500,Mon-Fri 9-4, w'ends 1-5 (closed public hols),James Kellie (Contract),1998,3000,119.7 hectares,
Brookman Wines,McLaren Vale,www.brookmanwines.com.au,157 Brookmans Road, Blewitt Springs, SA 5171 (postal)                        McLaren Vale,(08) 8383 0161,Not Available,Not,Silvestro Genovese, Linda Domas (Contract),2004,2000,25 hectares,
Brockville Wines,Murray Darling,,Murray Darling            VIC,Not Available,Not Available,This business is no longer operating,Not Available,1999,N/A,Not Available,
Brookland Valley,Margaret River,www.brooklandvalley.com.au,Caves Road, Wilyabrup, WA 6280                        Margaret River            WA,(08) 9755 6042,(08) 9755 6214,7 days 11-5,Courtney Treacher,1984,NFP,Not Available,
Broke Estate/Ryan Family Wines,Hunter Valley,www.ryanwines.com.au,Wollombi Road, Broke, NSW 2330                        Hunter Valley            NSW,(02) 6579 1065,(02) 6579 1065,Fri-Mon 11-5.30,Matthew Ryan,1988,2000,19 hectares,
Brookside Vineyard,Perth Hills,www.brooksidevineyard.com.au,5 Loaring Road, Bickley Valley, WA 6076                        Perth Hills            SA,(08) 9291 8705,(08) 8383 0811,W'ends and public hols 11-4,Darlington Estate,1984,400,25 hectares,
Brokenwood,Hunter Valley,www.brokenwood.com.au,401-427 McDonalds Road, Pokolbin, NSW 2321                        Hunter Valley            NSW            2321,(02) 4998 7559,(02) 4998 7893,Mon-Sat 9.30-5, Sun 10-5,Iain Riggs, Stuart Hordern,1970,100 000,64 hectares,
Brumby Wines,Swan Hill,www.brumbywines.com.au,Sandyanna, 24 Cannon Lane, Wood Wood, Vic 3596                        Swan Hill            VIC,0438 305 364,(03) 5030 5366,Mon-Fri 9-5,Neil Robb, John Ellis, Glen Olsen (Contract),2001,2000,7.3 hectares,
Side Gate Wines,South Eastern Australia,www.sidegate.com.au,57 Rokeby Street, Collingwood, Vic 3066                        South Eastern Australia            VIC            3066,(03) 9417 5757,(03) 8415 1991,Mon-Fri 8-5,Josef Orbach,2001,50 000,Not Available,
Browns of Padthaway,Padthaway,www.brownsofpadthaway.com.au,Glendon Park, 71 McLeons Road, Keppoch, SA 5271                        Padthaway            SA,(08) 8765 6040,(08) 8765 6003,By appt,O'Leary Walker Wines,1993,15 000,150 hectares,
Brown's Farm Winery,Hunter Valley,,Hunter Valley            NSW,Not Available,Not Available,This business is no longer operating,Not Available,1998,N/A,Not Available,
Seaforth Estate,Mornington Peninsula,www.seaforthwines.com.au,520 Arthurs Seat Road, Red Hill, Vic 3937                        Mornington Peninsula            VIC,(03) 5989 2362,(03) 5989 2506,First w'end each month 11-5,Contract (Phillip Kittle),1994,2000,4.1 hectares,
See Saw,Hunter Valley,www.seesawwine.com,PO Box 611, Manly, NSW 1655                        Hunter Valley            NSW,(02) 8966 9020,(02) 8966 9021,Not,Hamish MacGowan, Andrew Margan,2006,6000,Not Available,
Seraph's Crossing,Clare Valley,www.seraphscrossing.com.au,PO Box 5753, Clare, SA 5453                        Clare Valley            SA,0412 132 549,Not Available,Not,Harry Dickinson,2006,450,5 hectares,
Semprevino,McLaren Vale,www.semprevino.com.au,1 Waverly Drive, Willunga, SA 5171                        McLaren Vale            SA            5171,0417 142 110,Not Available,Not,Russell Schroder,2006,1000,Not Available,
Seplin Estate Wines,Western Plains Zone,www.seplinestatewines.com.au,36 Chifley Road, Wee Waa, NSW 2388                        Western Plains Zone            NSW,(02) 6795 3636,(02) 6795 3636,7 days 10-10,James Estate (Peter Orr),1998,6000,9.8 hectares,
Sentio Wines,Various,www.sentiowines.com.au,23 Priory Lane, Beechworth, Vic 3437 (postal)                        Various,0433 773 229,Not Available,Not,Chris Catlow,2013,800,Not Available,
Serafino Wines,McLaren Vale,www.serafinowines.com.au,Kangarilla Road, McLaren Vale, SA 5171            McLaren Vale            McLaren Vale            SA            5171,(08) 8323 0157,(08) 8323 0158,Mon-Fri 10-4.30, w'ends and public hols 10-4.30,Charles Whish,2000,30 000,100 hectares,
Seppeltsfield,Barossa Valley,www.seppeltsfield.com.au,Seppeltsfield Road, Seppeltsfield via Nuriootpa, SA 5355                        Barossa Valley            SA,(08) 8568 6200,(08) 8562 8333,7 days 10.30-5,Fiona Donald,1851,10 000,100 hectares,
Seppelt,Grampians,www.seppelt.com.au,36 Cemetery Road, Great Western, Vic 3377                        Grampians            VIC,(03) 5361 2239,(03) 5361 2328,7 days 10?5,Adam Carnaby,1851,NFP,500 hectares,
Britannia Creek Wines,Yarra Valley,,75 Britannia Creek Road, Wesburn, Vic 3799                        Yarra Valley            VIC,(03) 5967 1006,(03) 5780 1426,W'ends 10-6,Charlie Brydon,1982,NA,4 hectares,
Brave Goose Vineyard,Central Victoria Zone,www.bravegoosevineyard.com.au,PO Box 852, Seymour, Vic 3660                        Central Victoria Zone            VIC,0417 553 225,(03) 5799 0636,By appt,Nina Stocker,1988,200,6.5 hectares,
Bream Creek,Southern Tasmania,www.breamcreekvineyard.com.au,Marion Bay Road, Bream Creek, Tas 7175            Hobart            Southern Tasmania            TAS            7000,(03) 6231 4646,(03) 6231 4646,At Dunalley Waterfront Cafe,Greer Carnal, Glenn James,1974,6000,7.6 hectares,
Brash Higgins,McLaren Vale,www.brashhiggins.com,California Road, McLaren Vale, SA 5171                        McLaren Vale            SA            5171,(08) 8556 4237,Not Available,By appt,Brad Hickey,2010,1000,7 hectares,
Braydon Estate,Hunter Valley,,40 Londons Road, Lovedale, NSW 2325 (postal)                        Hunter Valley            NSW,(020 4990 9122,(02) 4990 9133,Not,Pothana (David Hook),1998,NA,Not Available,
Brown Brothers,King Valley,www.brownbrothers.com.au,Milawa-Bobinawarrah Road, Milawa, Vic 3678                        King Valley            VIC,(03) 5720 5500,(03) 5720 5511,7 days 9-5,Joel Tilbrook, Cate Looney, Geoff Alexander, Katherine Brown, Tom Canning,1885,Over 1 million,570 hectares,
Brierley Wines,Queensland Zone,www.brierleywines.com,574 Rainbows Road, Childers, Qld 4660                        Queensland Zone            QLD,(07) 4126 1297,(07) 4126 1297,Tues-Sun   school hols 10-4,Luke Fitzpatrick,1998,200,2 hectares,
Bremer River Vineyards,Langhorne Creek,,c/- Post Office, Langhorne Creek, SA 5255 (postal)                        Langhorne Creek            SA,0408 844 487,(08) 8370 0362,Not,Martin Silcock,1990,400,25 hectares,
Braydun Hill Vineyard,McLaren Vale,www.braydunhill.com.au,38-40 Hepenstal Road, Hackham. SA 5163                        McLaren Vale            SA,(08) 8382 3023,(08) 8326 0033,Thurs-Sun and public hols 11-4,Rebecca Kennedy,2001,2000,4.5 hectares,
Braewattie,Macedon Ranges,,351 Rochford Road, Rochford, Vic 3442                        Macedon Ranges            VIC,(03) 9818 5742,(03) 9818 8361,By appt,Jillian Ryan, Hanging Rock Winery,1993,250,5.5 hectares,
Stargazer Wine,Tasmania,www.stargazerwine.com.au,37 Rosewood Lane, Tea Tree, Tas 7017            Tea Tree            Tasmania            TAS            7017,0408 173 335,Not Available,By appt,Samantha Connew,2012,1000,1 hectares,
Chris Ringland,Various,www.chrisringland.com,Franklin House, 6-8 Washington Street, Angaston, SA 5353                        Various,(08) 8564 3233,(08) 8564 3311,By appt,Chris Ringland,1989,150,2.05 hectares,
Stone Coast Wines,Wrattonbully,www.stonecoastwines.com,18 North Terrace, Adelaide, SA 5000 (postal)                        Wrattonbully            SA,(08) 8239 4949,(08) 8239 4959,Not,Peter Douglas,1997,20 000,44 hectares,
Stone Ridge,Granite Belt,,35 Limberlost Road, Glen Aplin, Qld 4381                        Granite Belt            QLD,(07) 4683 4211,(07) 4683 4211,7 days by appt,Jim Lawrie, Anne Kennedy,1981,NA,Not Available,
Stonebrook Estate,Margaret River,www.stonebrookestate.com,1191 Vasse-Yallingup Road, Quindalup, WA 6280                        Margaret River            WA,(08) 9755 1104,(08) 9755 1001,By appt,John Durham (Consultant),1997,1000,Not Available,
Stonehaven,Padthaway,www.stonehavenwines.com.au,7089 Riddoch Highway, Padthaway, SA 5271                        Padthaway            SA,(08) 8765 6140,(08) 8765 6177,7 days 10-5,Grant Semmens, Leisha Slattery, Sean Carney,1998,500 000,400 hectares,
Sterling Heights,Northern Tasmania,,PO Box 180, St Helens, Tas 7216                        Northern Tasmania            TAS,(03) 6376 1419,Not Available,By appt,Geoff Wells,1988,400,1 hectares,
Stonefish,Various,www.stonefishwines.com.au,24 Kangarilla Road, McLaren Vale, SA 5171            McLaren Vale            Various            SA            5171,(02) 9668 9930,Not Available,Not,Contract, Peter Papanikitas,2000,10 000,Not Available,
Stevens Brook Estate,Perricoota,,Lot 2 Tatalia Road, Moama, NSW 2731                        Perricoota            NSW,(03) 5480 2005,(03) 5480 2004,By appt,Greg Dedman (Dontract),1996,5000,5 hectares,
Stephen John Wines,Clare Valley,www.stephenjohnwines.com,Sollys Hill Road, Watervale, SA 5452                        Clare Valley            SA,(08) 8843 0105,(08) 8843 0105,7 days 11-5,Stephen John,1994,5000,5 hectares,
Brothers at War,Various,www.brothersatwar.com.au,16 Gramp Avenue, Angaston, SA 5353                        Various,0405 631 889,Not Available,Not,Angus Wardlaw,2014,600,Not Available,
Bristol Farm,Mornington Peninsula,www.bristolfarm.com.au,59 Bellingham Road, Main Ridge, Vic 3928                        Mornington Peninsula            VIC,(03) 9830 1453,(03) 9888 6794,By appt,Contract,1997,250,Not Available,
Strath Valley Vineyard,Upper Goulburn,,Strath Valley Road, Strath Creek, Vic 3658                        Upper Goulburn            VIC,(03) 5784 9229,(03) 5784 9381,W'ends 10-5, or by appt,Contract,1994,NA,Not Available,
Stuart Range,South Burnett,,South Burnett            QLD,Not Available,Not Available,This business is no longer operating,Not Available,1997,NA,Not Available,
Stratherne Vale Estate,Central Western Australia Zone,,Campbell Street, Caballing, WA 6312                        Central Western Australia Zone            WA,(08) 9881 2148,(08) 9881 3129,Not,Contract,1980,600,Not Available,
Stellar Ridge Estate,Margaret River,,Margaret River            WA,Not Available,Not Available,This business is no longer operating,Not Available,1994,NA,Not Available,
Stumpy Gully,Mornington Peninsula,www.stumpygully.com.au,1247 Stumpy Gully Road, Moorooduc, Vic 3933                        Mornington Peninsula            VIC            3933,1800 STUMPY (788679),(03) 5978 8419,Thurs-Sun 10-5,Wendy, Frank and Michael Zantvoort,1988,12 000,40 hectares,
St Isidore,Adelaide Hills,www.stisidoreadelaidehills.com,1 Adelaide Lobethal Road, Lobethal, SA 5241                        Adelaide Hills            SA,0431 245 668,Not Available,Fri-Sun 11-4,Simon Greenleaf,2007,1000,Not Available,
Stuart Wines,Yarra Valley,www.stuartwinesco.com.au,105 Killara Road, Gruyere, Vic 3770 (postal)                        Yarra Valley            VIC,(03) 5964 9000,(03) 5964 9313,Not,Peter Wilson, Stephen Phillips,1999,95 000,128.9 hectares,
St Leonards Vineyard,Rutherglen,www.stleonardswine.com.au,St Leonards Road, Wahgunyah, Vic 3687            Wahgunyah            Rutherglen            VIC            3687,1800 021 621,(02) 6035 2200,Thurs-Sun 10-5,Nick Brown, Chloe Earl,1860,5000,12 hectares,
St Petrox,Hunter Valley,,352 Luskintyre Road, Luskintyre, NSW 2321                        Hunter Valley            NSW,(02) 4930 6120,(02) 4930 6070,Not,Peter Jorgensen,2000,NA,Not Available,
St John's Road,Barossa Valley,www.stjohnsroad.com,1468 Research Road, St Kitts, SA, 5356            St Kitts            Barossa Valley            SA            5356,(08) 8362 8622,(08) 8423 0272,Not,Phil Lehmann, Charlie Ormsby, James Lienert,2002,20 000,20 hectares,
Briarose Estate,Margaret River,www.briarose.com.au,13245 Bussell Highway, Augusta, WA 6290            Augusta            Margaret River            WA            6290,(08) 9758 4160,(08) 9758 4161,7 days 10-4.30,Stella Bella Wines, Bill Crappsley (Consultant),1998,7000,13.56 hectares,
Peter Lehmann,Barossa Valley,www.peterlehmannwines.com,Para Road, Tanunda, SA 5352                        Barossa Valley            SA            5352,(08) 8565 9555,(08) 8565 9599,Mon-Fri 9.30-5, w'ends and public hols 10.30-4.30,Nigel Westblade,1979,750 000,Not Available,
Peschar's,Hunter Valley,www.peschar.com.au,179 Wambo Road, Bulga, NSW 2330                        Hunter Valley            NSW,(02) 4927 1588,(02) 4927 1589,Not,Tyrrell's,1995,NA,Not Available,
Peter Douglas Wines,Coonawarra,www.peterdouglaswines.com.au,c/- 288 Lorimer Street, Port Melbourne, Vic 3207 (postal)                        Coonawarra            SA,(03) 9646 6666,(03) 9646 8383,Not,Peter Douglas,2007,1500,Not Available,
Penfolds Magill Estate,Adelaide Zone,www.penfolds.com,78 Penfold Road, Magill, SA 5072                        Adelaide Zone            SA,(08) 8301 5569,(08) 8301 5588,7 days 9-6,Peter Gago,1844,NFP,5.2 hectares,
This page is corked...,Adelaide Zone,www.penfolds.com,78 Penfold Road, Magill, SA 5072                        Adelaide Zone            SA,(08) 8301 5569,(08) 8301 5588,7 days 9-6,Peter Gago,1844,NFP,5.2 hectares,
Peppin Ridge,Upper Goulburn,,Peppin Drive, Bonnie Doon, Vic 3720                        Upper Goulburn            VIC,(03) 5778 7430,(03) 5778 7430,7 days 11-5,Don Adams,1997,400,Not Available,
Peel Estate,Peel,www.peelwine.com.au,290 Fletcher Road, Karnup, WA 6176                        Peel            WA            6176,(08) 9524 1221,(08) 9524 1625,7 days 10-5,Will Nairn, Mark Morton,1974,4000,16 hectares,
